iter	RMSE
0	14.29453806
1	13.3749731
2	12.51952921
3	11.74069455
4	11.07536268
5	10.49128848
6	9.941602835
7	9.44488817
8	9.045434531
9	8.610022737
10	8.238741717
11	7.936623629
12	7.662271384
13	7.42445356
14	7.183990582
15	6.959566221
16	6.777525228
17	6.60721055
18	6.463271097
19	6.305983767
20	6.196850368
21	6.087988742
22	5.980088128
23	5.886760333
24	5.805692734
25	5.739340806
26	5.661919849
27	5.601933968
28	5.550021961
29	5.498294373
30	5.454348057
31	5.418098472
32	5.375655765
33	5.340524953
34	5.306541305
35	5.278848088
36	5.257198407
37	5.236634433
38	5.2151162
39	5.187765136
40	5.177655689
41	5.159288685
42	5.139730465
43	5.126371922
44	5.108709868
45	5.091215297
46	5.069518823
47	5.057924999
48	5.039718769
49	5.022423754
50	5.007227675
51	4.997872747
52	4.995853553
53	4.985592309
54	4.973797566
55	4.958048702
56	4.941227364
57	4.927984352
58	4.912418771
59	4.888082943
60	4.879215321
61	4.864942656
62	4.858061838
63	4.843850822
64	4.831914936
65	4.823558642
66	4.809106946
67	4.798995979
68	4.791976103
69	4.776059161
70	4.762719174
71	4.761960082
72	4.754542643
73	4.748095348
74	4.742562889
75	4.731444323
76	4.722605333
77	4.715267668
78	4.709459781
79	4.70721326
80	4.703930289
81	4.696555011
82	4.68698773
83	4.683338345
84	4.672034719
85	4.667917587
86	4.662329158
87	4.655556785
88	4.644390456
89	4.632445541
90	4.629416588
91	4.618575953
92	4.615294114
93	4.607569903
94	4.605486204
95	4.58392114
96	4.575591814
97	4.571050574
98	4.561176879
99	4.558826559
